Title,Price,Material A,A Percent,Material B,B Percent
ASOS DESIGN Curve chunky v neck jumper in cream,£16.00,Acrylic,0.5,Polyester,0.5
Topshop premium knitted alpaca blend boucle jumper in navy,£16.00,Polyester,0.3,Alpaca,0.2
Cotton:On soft roll neck knit top in black,£16.00,Polyamide,0.45,Acrylic,0.3
Bershka bardot knitted jumper in ecru,£16.00,Polyester,0.49,Acrylic,0.26
Wednesday's Girl fluffy rib cardigan in cream,£16.00,Acrylic,1.0,NaN,0.0
& Other Stories crew neck sweater in black,£16.00,Cotton,0.54,Polyamide,0.38
Bershka chunky cropped jumper in ecru & black stripe,£16.00,Cotton,0.74,Polyester,0.26
JDY slouchy longline jumper with side split in black,£16.00,Viscose,0.52,Polyester,0.28
Threadbare Petite Isabella high neck boucle jumper in black and white,£16.00,Acrylic,1.0,NaN,0.0
Monki cropped high neck jumper in brown,£16.00,Polyester,0.97,Wool,0.03
Selected Femme chuck on button through cardigan in cream,£85.00,Polyester,1.0,NaN,0.0
ASOS DESIGN zip through cardigan with collar in textured yarn in charcoal,£16.00,Polyester,0.5,Acrylic,0.21
COLLUSION fine knit long sleeve beach shrug in yellow ,£85.00,Polyester,0.99,Elastane,0.01
ASOS DESIGN jumper in mixed yarn stripe in black and white,£85.00,Polyester,0.53,Acrylic,0.4
Stradivarius soft touch oversized jumper in blue,£85.00,Polyester,0.86,Elastane,0.07
BOSS Filias printed jumper in white and blue,£85.00,Polyamide,0.58,Alpaca,0.21
Only cut out detail jumper in bright green,£85.00,Polyester,1.0,NaN,0.0
Monki knit button front cardigan in green,£85.00,Polyester,0.64,Wool,0.26
Weekday Lex tight fit jumper in stone ,£85.00,Cotton,0.53,Polyamide,0.46
Urban Revivo knitted sweater vest in lilac,£85.00,Cotton,0.69,Polyamide,0.31
ASOS DESIGN Petite jumper in open stitch in khaki,£85.00,Cotton,0.56,Acrylic,0.28
Santa Cruz maya kniited jumper in white and purple horizontal stripes,£85.00,Acrylic,1.0,NaN,0.0
River Island roll neck top in black,£85.00,Viscose,0.7,Polyamide,0.3
River Island fringed cardigan in cream,£85.00,Acrylic,0.89,Polyester,0.06
Mango x Camille cropped knit cardigan with faux fur collar in beige,£85.00,Polyamide,0.42,Viscose,0.37
Urban Revivo ribbed hood detail jumper in red,£85.00,Acrylic,0.38,Cotton,0.35
Free People super soft fluffy longline jumper in cream,£85.00,Polyester,0.3,Wool,0.3
ASOS DESIGN crop cable jumper with fringe in chenille yarn in cream,£85.00,Polyester,1.0,NaN,0.0
Monki cable knit cardigan in white,£85.00,Cotton,1.0,NaN,0.0
Reclaimed Vintage unisex distressed shrug in black,£85.00,Acrylic,0.75,Nylon,0.25
Free People soft puff sleeve square neck jumper in charcoal grey,£85.00,Cotton,0.8,Elastane,0.2
ASOS DESIGN Maternity knitted top with sheer asymmetric detail in black,£85.00,Acrylic,0.77,Viscose,0.17
& Other Stories alpaca blend cardigan in grey melange,£85.00,Alpaca,0.52,Polyamide,0.45
Urban Revivo motorcross long sleeve cropped fleece in dark grey,£85.00,Cotton,0.93,Elastane,0.07
Wednesday's Girl Maternity half zip cosy jumper in grey,£85.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN jumper with cut out ruched back detail in lime green,£85.00,Viscose,0.51,Polyester,0.28
NA-kd nigh neck striped jumper in black and white,£85.00,Viscose,0.5,Polyester,0.25
Free People longline super soft striped cardigan in multi,£85.00,Polyester,0.65,Acrylic,0.3
Polo Ralph Lauren icon logo cotton cable knit cardigan in cream,£85.00,Cotton,1.0,NaN,0.0
ASOS DESIGN jumper in sheer knit in stripe pattern in lilac,£85.00,Acrylic,1.0,NaN,0.0
Mango stripe jumper in black and white,£85.00,Acrylic,0.87,Polyester,0.08
NA-KD structured knitted jumper in beige,£85.00,Polyester,0.68,Acrylic,0.32
Vero Moda Aware double ended zip through cardigan in black,£85.00,Viscose,0.5,Polyester,0.33
Fila ribbed cardigan with logo in red,£85.00,Cotton,0.95,Elastane,0.05
Cotton:On crop knitted sweater in blue wave,£85.00,Polyester,0.8,Acrylic,0.1
& Other Stories merino wool lettuce edge top in off white,£85.00,Wool,0.6,Lyocell,0.4
ASOS DESIGN crew neck rib jumper in grey marl ,£85.00,Viscose,0.53,Polyester,0.3
Threadbare Daisy cable knit cardigan in grey,£85.00,Polyester,0.73,Acrylic,0.24
Y.A.S sweetheart neck knitted top in black,£85.00,Viscose,0.52,Polyester,0.26
Cotton:On cropped ribbed half zip jumper in Sunfaded Yellow,£85.00,Viscose,0.8,Polyacrylate,0.2
Only v neck ribbed jumper in cream,£85.00,Acrylic,1.0,NaN,0.0
Y.A.S longline knitted cardigan in bright colbalt blue,£85.00,Polyester,0.56,Acrylic,0.37
Only Curve v neck jumper in black,£85.00,Viscose,0.5,Nylon,0.27
Calvin Klein Jeans badge roll neck sweater in black,£85.00,Lyocell,1.0,NaN,0.0
Vila double breasted cable knit cardigan in cream,£85.00,Acrylic,0.86,Polyamide,0.1
Mango zip front top in white,£85.00,Polyester,0.52,Cotton,0.44
ASOS DESIGN knitted 2 in 1 shrug in ladder stitch in black,£85.00,Viscose,0.56,Polyamide,0.44
Only cotton cropped cable knit polo jumper in lime,£85.00,Cotton,0.7,Polyester,0.3
Labelrail x Holly Marston long sleeve rib jumper with bullring slash detail in blue,£85.00,Cotton,0.59,Acrylic,0.41
