Title,Price,Material A,A Percent,Material B,B Percent
Glamorous scoop back rib knit jumper in coral,£26.00,Acrylic,1.0,NaN,0.0
Topshop premium hand knitted open stitch jumper in green,£26.00,Cotton,0.59,Acrylic,0.41
Pieces oversized v neck reversable jumper in camel,£26.00,Polyester,0.62,Acrylic,0.22
Violet Romance oversized cardgian in space dye,£85.00,Acrylic,1.0,NaN,0.0
Monki oversized knitted sweater with jacquard cat placement,£50.00,Acrylic,1.0,NaN,0.0
Weekday Unisex Jesper hairy knit stripe jumper in brown exclusive to ASOS,£55.00,Polyamide,1.0,NaN,0.0
Monki high neck knitted jumper in rose jacquard,£25.99,Polyester,0.52,Acrylic,0.41
Mango high neck jumper in black,£24.00,Viscose,0.84,Polyamide,0.16
Daisy Street 90s fitted cardgian in red argyle knit,£50.00,Viscose,0.45,Polyamide,0.28
Wednesday's Girl fruit jaquard crew neck jumper in cream,£55.00,Acrylic,1.0,NaN,0.0
Threadbare fluffy v neck slouchy jumper in off white,£18.00,Acrylic,0.76,Nylon,0.21
Threadbare Chloe turtle neck jumper in beige check,£55.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN Tall chunky v neck jumper in grey,£26.00,Acrylic,0.5,Polyester,0.5
Monki metallic yarn knitted sweater in silver,£55.00,Polyester,0.79,Metal,0.21
Miss Selfridge cable knit strappy back jumper,£26.00,Acrylic,0.84,Nylon,0.16
ASOS DESIGN Curve high neck jumper in rib in black ,£26.00,Polyester,0.88,Polyamide,0.12
Only fluffy knit slouchy jumper in black stripe,£26.00,Nylon,0.7,Acrylic,0.3
Miss Selfridge stripe knit half zip jumper in black stripe ,£26.00,Viscose,0.49,Polyester,0.3
Threadbare Joan cardigan in taupe,£26.00,Acrylic,1.0,NaN,0.0
Mango stripe open neck jumper in black,£26.00,Viscose,0.5,Polyester,0.28
Topshop knitted fluffy cable stitch long line jumper in blue,£26.00,Polyester,1.0,NaN,0.0
Daisy Street Y2K faux fur knitted jumper with exaggerated collar and rib sleeves in light brown,£26.00,Polyester,1.0,NaN,0.0
Bershka cropped knit roll neck jumper in camel,£26.00,Viscose,0.52,Polyester,0.28
Miss Selfridge chunky soft knit roll neck in oatmeal,£26.00,Polyester,0.93,Wool,0.05
Topshop knitted abstract print oversized jumper in blue,£26.00,Polyester,0.71,Nylon,0.2
ASOS DESIGN deconstructed crew neck jumper in burgundy,£26.00,Acrylic,0.8,Polyester,0.2
Only lightweight jumper in black and white stripe,£26.00,Polyester,1.0,NaN,0.0
River Island crew neck fine knit top in black,£26.00,Nylon,0.7,Viscose,0.3
Topshop knitted crew neck fluffy spot jumper in blue,£26.00,Acrylic,0.83,Polyester,0.11
Threadbare Plus Ruby cardigan in black and white stripe,£26.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN fluffy crew neck jumper in pink,£26.00,Polyester,0.84,Acrylic,0.14
Mango fluffy cropped jumper in brown,£26.00,Polyamide,0.72,Viscose,0.18
Vila knit detail cardigan in black,£26.00,Acrylic,1.0,NaN,0.0
Cotton:On zip through knitwear cardi in blue,£26.00,Polyester,0.49,Acrylic,0.3
ASOS DESIGN knitted shrunken cardigan in cream,£26.00,Acrylic,0.84,Nylon,0.16
ASOS DESIGN knitted top with sweetheart neck and lace up front detail in black,£26.00,Viscose,0.68,Polyamide,0.32
Threadbare Kylie tie front shawl collar cardigan in off white,£26.00,Acrylic,1.0,NaN,0.0
Topshop premium knitted pure lambswool oversized roll neck jumper in grey,£26.00,Lambs,1.0,NaN,0.0
JDY roll neck jumper in black and white stripe,£26.00,Acrylic,1.0,NaN,0.0
Only cropped jumper with textured sleeves in stone,£26.00,Acrylic,0.67,Polyester,0.33
Bershka crew neck cropped jumper in sand,£26.00,Viscose,0.7,Polyamide,0.3
ASOS DESIGN cherry knit long sleeve jumper in black,£26.00,Acrylic,1.0,NaN,0.0
Threadbare Plus Etta chunky roll neck jumper in chocolate brown,£26.00,Acrylic,1.0,NaN,0.0
Vila high neck knitted jumper with sleeve detail in black,£26.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN relaxed crew neck jumper with seam detail in blue ,£26.00,Polyester,0.58,Acrylic,0.36
Pimkie zip through oversized collar jumper in charcoal grey,£26.00,Acrylic,0.63,Polyester,0.23
ASOS DESIGN Maternity crew neck rib jumper in brown,£26.00,Viscose,0.53,Polyester,0.3
ASOS DESIGN oversized v neck jumper with side split detail in grey,£26.00,Acrylic,0.56,Polyester,0.26
New Look long sleeve knitted top in burgundy,£26.00,Polyester,0.96,Elastane,0.04
Monki Libby high neck jumper in black,£26.00,Polyester,0.55,Acrylic,0.45
Threadbare wrap front cardigan in black,£26.00,Acrylic,1.0,NaN,0.0
Threadbare Etta chunky roll neck jumper in chocolate brown,£26.00,Cotton,1.0,NaN,0.0
Topshop knitted funnel neck long line jumper in lime,£26.00,Polyester,0.84,Acrylic,0.14
Stradivarius high neck cable knit jumper in ecru,£26.00,Acrylic,0.79,Polyester,0.21
Pull&Bear long sleeve knitted polo neck in light brown,£26.00,Viscose,0.5,Polyester,0.28
New Look oversized striped jumper in charcoal and black,£26.00,Polyester,0.55,Acrylic,0.25
Monki high neck chunky rib knitted jumper with volume sleeve in black,£26.00,Polyester,1.0,NaN,0.0
Threadbare Christmas roll neck cropped jumper in white,£26.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN oversized slouch off shoulder jumper in camel,£26.00,Acrylic,0.55,Polyamide,0.21
Miss Selfridge chunky longline cardigan in olive ,£26.00,Acrylic,1.0,NaN,0.0
Topshop knitted volume sleeve fluffy jumper in orange ,£26.00,Polyester,0.87,Acrylic,0.13
Miss Selfridge lash striped jumper in oatmeal,£26.00,Polyamide,0.66,Acrylic,0.34
Topshop knitted premium cable ovoid sleeve jumper in navy,£26.00,Polyester,1.0,NaN,0.0
Topshop knitted crew neck jumper in oat,£26.00,Polyester,0.85,Acrylic,0.15
Stradivarius cable knit jumper in grey ,£26.00,Acrylic,0.79,Polyester,0.21
Stradivarius fluffy rib cardigan in ecru ,£26.00,Acrylic,0.44,Polyester,0.41
ASOS DESIGN crop jumper with crew neck in rib in blue,£26.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN rib jumper with grown on neck in black,£26.00,Viscose,0.74,Nylon,0.26
Bershka polo neck jumper in grey & white stripe,£26.00,Polyester,0.63,Acrylic,0.27
Pull&Bear long sleeve knitted polo neck in black,£26.00,Viscose,0.5,Polyester,0.28
Brave Soul cindy roll neck cable knit jumper with sleeve detail in crimson,£26.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN rib jumper with v neck in black,£26.00,Viscose,0.82,Nylon,0.16
ASOS DESIGN Curve longline jumper with high neck in charcoal ,£26.00,Polyester,0.5,Nylon,0.37
ASOS DESIGN knitted top with scoop neck with rib bust detail in white,£26.00,Polyester,0.89,Nylon,0.11
ASOS DESIGN Tall crew neck chunky rib jumper in black,£26.00,Polyester,0.51,Acrylic,0.49
Vero Moda round neck knitted jumper in beige melange,£26.00,Polyester,0.94,Elastane,0.03
Bershka quarter zip jumper in ecru,£26.00,Polyester,0.52,Cotton,0.48
Topshop knitted ultra fluffy stripe crew jumper in neutral ,£42.00,Nylon,1.0,NaN,0.0
Threadbare Riley quarter zip jumper in off white,£42.00,Polyester,0.97,Spandex,0.03
& Other Stories mock neck jumper in sage,£26.00,Polyester,0.52,Acrylic,0.38
ASOS DESIGN chunky oversized jumper in rib with grown on neck in oatmeal,£42.00,Polyester,0.75,Polyamide,0.17
Miss Selfridge boxy pocket detail cardigan in taupe,£42.00,Polyester,0.5,Acrylic,0.4
Noisy May textured stripe jumper in oatmeal,£26.00,Polyester,0.98,Elastane,0.02
Topshop knitted cable crew jumper in orange,£42.00,Acrylic,0.46,Polyester,0.34
Threadbare Ski high neck printed jumper in blue,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Ivy fluffy v neck oversized jumper in taupe,£42.00,Nylon,0.6,Acrylic,0.4
ASOS DESIGN oversized crew neck jumper with balloon sleeves in blue,£26.00,Acrylic,0.88,Nylon,0.12
ASOS DESIGN Curve chunky v neck jumper in black,£42.00,Acrylic,0.5,Polyester,0.5
ASOS DESIGN Curve chunky jumper with open collar in cream,£42.00,Polyester,0.71,Acrylic,0.2
JDY lightweight v neck jumper in pink,£42.00,Acrylic,0.88,Polyester,0.12
Weekday Lyla mock neck jumper in dark green ,£42.00,Polyester,0.5,Cotton,0.45
Mango stripe open neck jumper in white,£42.00,Viscose,0.5,Polyester,0.28
Bershka fluffy knit high neck jumper in beige,£42.00,Cotton,1.0,NaN,0.0
Hollister slim fit square neck jumper with flute sleeves in black,£42.00,Cotton,0.58,Acrylic,0.36
Threadbare Daisy cable knit cardigan in sage green,£42.00,Polyester,0.73,Acrylic,0.24
ASOS DESIGN neat fit crew neck jumper in camel,£42.00,Polyester,0.52,Acrylic,0.43
ASOS DESIGN sheer knitted off shoulder top in cream,£42.00,Viscose,0.75,Polyester,0.25
Threadbare Amelia cardigan in black and white check,£42.00,Acrylic,1.0,NaN,0.0
JJXX crew neck deep cuff jumper in pink,£42.00,Polyester,0.64,Acrylic,0.28
Miss Selfridge varsity crop jumper with tipping,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Kylie tie front shawl collar cardigan in black,£42.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN Tall high neck jumper in rib in black ,£42.00,Polyester,0.88,Polyamide,0.12
Stradivarius soft touch jumper in stripe ,£42.00,Viscose,0.53,Polyester,0.3
Monki high neck chunky rib knitted jumper with volume sleeve in pink,£42.00,Polyester,1.0,NaN,0.0
ASOS DESIGN longline jumper with high neck in oatmeal,£42.00,Polyester,0.5,Nylon,0.37
ASOS DESIGN relaxed jumper with zip collar in camel,£42.00,Acrylic,0.5,Polyester,0.5
Bershka cable zip up cropped jumper in ecru,£42.00,Polyester,0.97,Elastane,0.03
Topshop knitted roll neck wide rib jumper in rust,£42.00,Polyester,0.85,Acrylic,0.15
Topshop knitted oversized distressed jumper in charcoal,£42.00,Acrylic,0.77,Nylon,0.12
ASOS DESIGN oversized cable jumper in cream ,£42.00,Polyester,0.51,Nylon,0.36
Threadbare Plus Chloe high neck jumper in black,£42.00,Acrylic,1.0,NaN,0.0
Bershka crew neck cropped jumper in dark grey,£42.00,Viscose,0.7,Polyamide,0.3
Threadbare Garnet cable knit longline cardigan in grey,£42.00,Acrylic,0.65,Polyester,0.35
Miss Selfridge chunky soft knit roll neck in black,£42.00,Polyester,0.93,Wool,0.05
Miss Selfridge stripe knit half zip jumper in cream stripe ,£42.00,Viscose,0.49,Polyester,0.3
Miss Selfridge lash knit funnel neck short sleeve top in cream ,£42.00,Polyamide,0.64,Acrylic,0.36
JDY knitted crew neck jumper in beige & black stripe,£42.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN oversized jumper in red and black stripe,£42.00,Acrylic,0.8,Polyester,0.2
ASOS DESIGN knitted cropped cardigan with double zip in black,£42.00,Cotton,1.0,NaN,0.0
Threadbare Willow hoody jumper in stone,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Plus Chloe turtle neck jumper in neutral ombre ,£42.00,Acrylic,0.71,Polyester,0.27
Threadbare wrap front cardigan in chocolate brown,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Lillian v neck oversized jumper in grey,£42.00,Acrylic,1.0,NaN,0.0
& Other Stories crew neck sweater in green,£42.00,Cotton,0.54,Polyamide,0.38
Threadbare Joan cardigan in lilac,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Brick high neck oversized jumper in purple,£42.00,Acrylic,0.73,Polyamide,0.24
Topshop knitted chunky rib oversized funnel jumper in brown,£42.00,Polyester,0.86,Acrylic,0.14
ASOS DESIGN super soft brushed rib roll neck top co-ord in black,£42.00,Polyester,0.53,Cotton,0.41
Stradivarius high neck jumper in black and white stripe ,£42.00,Viscose,0.7,Polyamide,0.3
Topshop knitted high neck stripe jumper in beige and black,£42.00,Acrylic,0.5,Polyester,0.5
Threadbare Plus Garnet cable knit longline cardigan in black,£42.00,Acrylic,0.65,Polyester,0.35
Monki cropped high neck jumper in dark grey melange,£42.00,Polyester,0.97,Wool,0.03
COLLUSION Unisex knitted ribbed oversized rollneck jumper in black,£42.00,Acrylic,1.0,NaN,0.0
& Other Stories mock neck jumper in purple,£42.00,Polyester,0.52,Acrylic,0.38
ASOS DESIGN knitted shrug cardigan in ivory,£42.00,Acrylic,0.5,Cotton,0.5
ASOS DESIGN Petite boxy jumper in rib with roll neck in black,£42.00,Polyester,0.5,Nylon,0.35
Vero Moda lightweight v neck jumper in lilac,£42.00,Acrylic,0.7,Nylon,0.27
Threadbare Grace roll neck jumper in teal,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Plus Delilah roll neck oversized jumper in stripe,£42.00,Mohair,1.0,NaN,0.0
Stradivarius fluffy rib cardigan in grey ,£42.00,Acrylic,0.44,Polyester,0.41
Topshop knitted funnel neck long line jumper in rust,£42.00,Polyester,0.84,Acrylic,0.14
ASOS DESIGN Petite fluffy rib jumper with crew neck in black ,£42.00,Acrylic,0.5,Polyester,0.5
& Other Stories mock neck jumper in pink,£42.00,Polyester,0.52,Acrylic,0.38
Threadbare Chloe turtle neck jumper in monochrome stripe,£42.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN metallic oversized jumper with cable detail in silver,£18.00,Polyester,1.0,NaN,0.0
Threadbare Addison high neck cable knit oversized jumper in off white,£42.00,Acrylic,1.0,NaN,0.0
Threadbare Leah high neck oversized jumper in oatmeal,£42.00,Acrylic,0.73,Polyamide,0.24
Topshop knitted fluffy sleeveless cardigan in black,£18.00,Acrylic,0.46,Polyester,0.2
Threadbare Chloe turtle neck jumper in purple,£18.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN oversized jumper in fairisle pattern in cream,£18.00,Polyester,1.0,NaN,0.0
Only v neck jumper in brown marl,£42.00,Acrylic,0.74,Polyester,0.24
Monki knitted turtleneck sweater in dark green,£18.00,Polyester,0.9,Wool,0.08
Topshop knitted chunky rib oversized funnel jumper in ivory,£18.00,Polyester,0.86,Acrylic,0.14
Bershka bardot zip front jumper in white,£18.00,Polyester,0.6,Acrylic,0.3
ASOS DESIGN button through crew neck cardigan in stripe,£18.00,Acrylic,0.8,Polyester,0.2
Topshop knitted oversized roll neck jumper in stone,£18.00,Polyester,0.95,Wool,0.05
ASOS DESIGN Tall crew neck chunky rib jumper in dark red ,£18.00,Polyester,0.51,Acrylic,0.49
Bershka high neck cropped jumper in black,£18.00,Viscose,0.7,Polyamide,0.3
Stradivarius high neck knitted top in oatmeal,£18.00,Viscose,0.83,Polyester,0.17
Object long sleeve roll neck knitted top in oatmeal,£18.00,Viscose,0.5,Nylon,0.27
Threadbare Chloe turtle neck jumper in neutral ombre ,£18.00,Acrylic,0.71,Polyester,0.27
Threadbare Tall Ellie split sleeve jumper in black,£18.00,Viscose,0.8,Nylon,0.2
Threadbare Etta chunky roll neck jumper in deep red,£18.00,Cotton,1.0,NaN,0.0
New Look crew neck jumper in mink,£18.00,Polyester,0.55,Acrylic,0.25
Pull&Bear oversized knitted jumper in ecru,£18.00,Polyester,0.6,Acrylic,0.2
Miss Selfridge boxy pocket detail cardigan in cream,£18.00,Polyester,0.5,Acrylic,0.4
Threadbare Chloe turtle neck jumper in hot pink,£18.00,Acrylic,1.0,NaN,0.0
Topshop knitted cable crew jumper in stone,£18.00,Acrylic,0.46,Polyester,0.34
ASOS DESIGN oversized jumper with crew neck in black ,£18.00,Acrylic,0.78,Polyester,0.22
Topshop knitted funnel neck long line jumper in black,£18.00,Polyester,0.84,Acrylic,0.14
ASOS DESIGN boxy jumper in rib with roll neck in black,£18.00,Polyester,0.5,Nylon,0.35
Noisy May open knit jumper in khaki,£18.00,Polyester,1.0,NaN,0.0
Bershka high neck cropped jumper in white,£18.00,Viscose,0.7,Polyamide,0.3
ASOS DESIGN fluffy crew neck jumper in grey,£18.00,Polyester,0.84,Acrylic,0.14
ASOS DESIGN jumper with scoop neck with rib bust detail in black ,£18.00,Polyester,0.89,Nylon,0.11
Topshop knitted crew neck jumper in grey,£18.00,Polyester,0.75,Nylon,0.18
Pull&Bear crew neck soft knitted jumper in sand,£18.00,Polyester,0.96,Elastane,0.04
ASOS DESIGN boxy edge to edge cardigan in black,£18.00,Polyester,0.48,Nylon,0.38
Stradivarius open knit jumper with flared sleeve in black,£18.00,Acrylic,1.0,NaN,0.0
Threadbare Harper crew neck cropped jumper in black and white,£18.00,Polyester,0.83,Acrylic,0.1
Threadbare Garnet cable knit longline cardigan in chocolate brown,£18.00,Acrylic,0.65,Polyester,0.35
Stradivarius cable knit jumper in beige,£18.00,Acrylic,0.79,Polyester,0.21
ASOS DESIGN oversized high neck jumper in pink,£18.00,Acrylic,1.0,NaN,0.0
Threadbare Delilah roll neck oversized jumper in stripe,£18.00,Acrylic,1.0,NaN,0.0
Stradivarius high neck jumper in taupe & black stripe,£18.00,Viscose,0.7,Polyamide,0.3
Threadbare Maya crew neck oversized jumper in navy stripe,£18.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN boxy jumper in rib with roll neck in cream,£18.00,Polyester,0.5,Nylon,0.35
ASOS DESIGN zip through cardigan with collar in black,£18.00,Acrylic,0.84,Polyamide,0.1
Topshop knitted fluffy roll neck jumper in oat,£18.00,Polyester,0.45,Acrylic,0.3
ASOS DESIGN fluffy crew neck jumper in oatmeal,£18.00,Polyester,0.84,Acrylic,0.14
Brave Soul roll neck jumper with oversized cuff in black,£18.00,Acrylic,1.0,NaN,0.0
Threadbare Isabella high neck boucle jumper in black and white,£18.00,Polyester,1.0,NaN,0.0
ASOS DESIGN high neck jumper in rib in cream,£18.00,Polyester,0.88,Polyamide,0.12
ASOS DESIGN wool blend oversized jumper with crew neck in oatmeal,£18.00,Acrylic,0.58,Polyester,0.27
ASOS DESIGN longline jumper with high neck in charcoal stripe,£18.00,Polyester,0.5,Nylon,0.37
ASOS DESIGN Curve Christmas sweatshirt with glitter favourite jumper print in black,£18.00,Cotton,1.0,NaN,0.0
Threadbare Kinsley high neck oversized jumper in monochrome stripe,£18.00,Acrylic,1.0,NaN,0.0
Threadbare Lucie roll neck oversized jumper in off white,£18.00,Polyester,0.66,Acrylic,0.34
ASOS DESIGN blanket stitch cardigan in black,£18.00,Acrylic,1.0,NaN,0.0
Topshop knitted 3D cable funnel neck jumper in cream,£18.00,Polyester,0.75,Acrylic,0.21
Stradivarius chunky knit jumper in stone ,£18.00,Polyester,0.76,Acrylic,0.1
Threadbare Brick high neck oversized jumper in black,£18.00,Acrylic,0.73,Polyamide,0.24
ASOS DESIGN fluffy rib jumper with crew neck in black,£18.00,Acrylic,0.5,Polyester,0.5
Stradivarius roll neck chunky jumper in black ,£18.00,Polyester,0.76,Acrylic,0.1
Bershka chunky crew neck jumper in black & white stripe,£18.00,Polyester,0.53,Acrylic,0.28
ASOS DESIGN longline jumper with high neck in cream and black stripe,£18.00,Polyester,0.5,Nylon,0.37
JDY knitted v neck jumper in brown melange,£18.00,Acrylic,0.74,Nylon,0.2
Stradivarius soft touch jumper in ecru ,£18.00,Viscose,0.53,Polyester,0.3
ASOS DESIGN boxy v neck jumper in rib in cream,£18.00,Polyester,0.51,Acrylic,0.43
ASOS DESIGN boxy crew neck jumper in black,£18.00,Acrylic,0.67,Polyester,0.26
ASOS DESIGN boxy crew neck jumper in cream,£18.00,Acrylic,0.67,Polyester,0.26
ASOS DESIGN super soft roll neck jumper with cuff detail in black,£18.00,Polyester,0.56,Cotton,0.44
Topshop knitted micro cardi in stone,£18.00,Polyester,0.75,Nylon,0.18
Pimkie roll neck ribbed cropped jumper in black,£55.00,Polyester,0.62,Polyamide,0.38
Weekday Ayla knitted jumper in navy melange,£55.00,Polyamide,0.48,Polyester,0.42
ASOS DESIGN chunky oversized v neck jumper in brushed yarn in camel,£55.00,Polyester,0.68,Nylon,0.23
Topshop knitted acid wash ribbed jumper in black,£55.00,Cotton,1.0,NaN,0.0
JDY reversible jumper with lace trim in black,£55.00,Polyester,0.97,Elastane,0.03
Monki high neck knitted jumper in blue and cream wavy stripe jacquard,£55.00,Polyester,0.52,Acrylic,0.41
Mango v-neck striped jumper in black,£55.00,Viscose,0.38,Polyester,0.34
ASOS DESIGN sheer knitted crew neck top in white ,£55.00,Viscose,0.75,Polyester,0.25
Stradivarius STR distressed open knit jumper in beige ,£55.00,Cotton,0.55,Polyester,0.45
Topshop knitted plated boyfriend long line boucle cardigan in khaki,£55.00,Nylon,0.38,Polyester,0.33
Barbour x ASOS exclusive roll neck fairisle knit jumper in navy,£55.00,Wool,0.8,Polyamide,0.2
Bershka fluffy knit cardigan in sand,£55.00,Nylon,0.99,Elastane,0.01
Wednesday's Girl fine knit jumper with stud detail in black,£55.00,Acrylic,1.0,NaN,0.0
Monki cropped knitted jumper in brown,£55.00,Polyester,0.97,Wool,0.03
Vila button through cable knit cardigan in cream,£55.00,Acrylic,1.0,NaN,0.0
Pimkie oversized collar zip through jumper in red,£55.00,Acrylic,0.63,Polyester,0.23
& Other Stories alpaca wool relaxed jumper in light grey melange,£55.00,Alpaca,0.52,Polyamide,0.45
Only wide neck oversized sleeve jumper in cream,£55.00,Polyester,1.0,NaN,0.0
Barbour x ASOS exclusive roll neck fairisle knit jumper in oat,£55.00,Wool,0.8,Polyamide,0.2
ASOS DESIGN crop jumper with crew neck in rib in stone,£55.00,Acrylic,1.0,NaN,0.0
Reclaimed Vintage fine knit off shoulder top with flute sleeves in black,£55.00,Polyester,1.0,NaN,0.0
& Other Stories knitted jumper in black and white stripe,£55.00,Viscose,0.66,Polyester,0.25
Topshop knitted crop ovoid sleeve jumper in oat,£55.00,Nylon,0.43,Acrylic,0.37
JDY lightweight v neck jumper in rust,£55.00,Acrylic,0.88,Polyester,0.12
Reclaimed Vintage black shrug cardigan in black,£55.00,Acrylic,0.93,Polyamide,0.07
Hollister slim fit square neck jumper with flute sleeves in white,£55.00,Cotton,0.58,Acrylic,0.36
Hollister slim fit square neck jumper with flute sleeves in pink,£55.00,Cotton,0.58,Acrylic,0.36
Vila cut out sleeve jumper in cream,£55.00,Polyester,0.95,Elastane,0.05
Cotton:On oversized cardigan in camel,£55.00,Acrylic,1.0,NaN,0.0
Pimkie soft ribbed roll neck jumper in charcoal grey,£55.00,Acrylic,0.6,Polyester,0.31
Mango crew neck jumper in orange,£55.00,Polyamide,0.72,Viscose,0.18
Monki v neck knitted sweater in dark grey melange,£55.00,Polyester,0.9,Wool,0.08
Topshop premium knitted crew neck contrast seam jumper 100% lambswool jumper in grey,£55.00,Wool,1.0,NaN,0.0
Noisy May pointelle wide neck jumper in cream,£55.00,Acrylic,1.0,NaN,0.0
Miss Selfridge super lash cardi with button detail in pink,£55.00,Nylon,0.64,Acrylic,0.36
& Other Stories merino wool blend knitted chunky rib half zip sweater in taupe,£55.00,Merino,0.55,Cotton,0.45
Only high neck zip detail jumper in cream and black stripe,£55.00,Acrylic,0.85,Polyamide,0.08
Weekday Blur long sleeve top in renaissance print,£55.00,Polyester,1.0,NaN,0.0
Mango button down ribbed cardigan co-ord in ecru,£55.00,Cotton,1.0,NaN,0.0
Weekday Annie knitted jumper in dark grey melange,£55.00,Polyamide,0.48,Polyester,0.42
& Other Stories wool roll neck oversize jumper in grey melange,£55.00,Wool,0.7,Polyamide,0.27
ASOS DESIGN knitted top with asymmetric neckline in stripe,£55.00,Acrylic,0.55,Polyester,0.2
Bershka high neck contrast trim cropped jumper in beige,£55.00,Viscose,0.7,Polyamide,0.3
Topshop premium knitted alpaca blend boucle jumper in cream,£55.00,Polyester,0.3,Alpaca,0.2
Miss Selfridge chunky soft knit roll neck in pale grey marl ,£55.00,Polyester,0.93,Wool,0.05
Bershka knitted asymetric hem jumper co-ord in black glitter,£55.00,Polyamide,0.7,Metallised,0.3
Noisy May fluffy knitted jumper in green and cream stripe,£55.00,Acrylic,0.45,Polyester,0.4
Hollister slouchy cardigan in black,£55.00,Cotton,0.57,Acrylic,0.37
 Monki long sleeve collar knitted sweater in chocolate brown,£55.00,Polyester,0.9,Wool,0.08
ASOS DESIGN high v neck jumper in textured yarn in butter yellow,£55.00,Acrylic,0.6,Polyester,0.4
Topshop knitted stripe placement funnel jumper in cream,£55.00,Acrylic,1.0,NaN,0.0
Object v neck knitted polo jumper in fossil beige melange,£55.00,Viscose,0.5,Nylon,0.27
Weekday Grace half zip jumper in green stripe,£55.00,Polyester,0.5,Cotton,0.45
River Island crew neck fine knit top in cream,£55.00,Viscose,0.7,Nylon,0.3
Topshop knitted crew neck fluffy spot jumper in neutral,£55.00,Acrylic,0.83,Polyester,0.11
Miss Selfridge funnel neck tassle hem jumper in chocolate ,£55.00,Acrylic,0.68,Polyester,0.31
Weekday Unisex Fabian sweater in slate blue exclusive to ASOS,£55.00,Cotton,1.0,NaN,0.0
ASOS DESIGN neat fit crew neck jumper in black,£55.00,Polyester,0.52,Acrylic,0.43
Only v neck jumper in stone marl,£24.00,Acrylic,0.74,Polyester,0.24
Topshop knitted plated boyfriend long line boucle cardigan in stone,£24.00,Nylon,0.38,Polyester,0.33
Stradivarius knit zip side jumper in grey,£55.00,Cotton,0.71,Nylon,0.29
Urban Revivo striped tassel poncho in brown,£24.00,Polyester,0.75,Acrylic,0.17
& Other Stories premium knit wool blend fluffy yarn jumper in beige,£24.00,Polyester,0.35,Mohair,0.31
& Other Stories premium knit wool blend relaxed jumper with v neck in  grey melange,£24.00,Wool,0.39,Mohair,0.3
JDY round neck jumper in oatmeal,£24.00,Acrylic,0.57,Polyester,0.41
Threadbare Etta chunky roll neck jumper in lilac,£24.00,Cotton,1.0,NaN,0.0
ASOS DESIGN fluffy crew neck jumper in green,£24.00,Polyester,0.84,Acrylic,0.14
Only colourblock jumper in animal print,£24.00,Acrylic,0.81,Polyester,0.19
Only light knit cardigan in black,£24.00,Viscose,0.5,Nylon,0.27
COLLUSION Unisex knitted jacquard branded oversized jumper in black,£24.00,Acrylic,1.0,NaN,0.0
Fashionkilla fine knit fitted top in cream,£24.00,Polyamide,1.0,NaN,0.0
& Other Stories wrap cardigan in light brown melange exclusive to ASOS,£24.00,Polyester,0.52,Acrylic,0.38
Only ribbed knit jumper in cream and black stripe,£24.00,Cotton,0.6,Acrylic,0.4
Topshop knitted multi stitch jumper in mono ,£24.00,Acrylic,0.72,Polyester,0.28
Pieces high neck jumper in black,£24.00,Polyester,0.82,Acrylic,0.15
ASOS DESIGN open knit textured shrug cardigan in khaki,£24.00,Polyester,0.98,Elastane,0.02
Hollister slim turtleneck jumper in black,£24.00,Cotton,0.6,Acrylic,0.2
ASOS DESIGN cable cardigan in cream,£24.00,Polyester,0.7,Acrylic,0.2
Miss Selfridge funnel neck open back tie jumper in cream ,£24.00,Acrylic,0.74,Nylon,0.24
ASOS DESIGN wrap front jumper in rib in cream,£24.00,Acrylic,0.76,Polyamide,0.21
& Other Stories alpaca relaxed jumper in dark grey melange,£24.00,Alpaca,0.52,Polyamide,0.45
ASOS DESIGN oversized jumper with collar detail in cream,£24.00,Acrylic,0.6,Polyester,0.4
Wednesday's Girl fitted rib jumper with fluffy cuffs in black,£24.00,Polyester,1.0,NaN,0.0
Topshop knitted zebra print fluffy jumper in orange,£24.00,Acrylic,0.83,Polyester,0.11
& Other Stories wool high neck oversize jumper in white,£24.00,Wool,1.0,NaN,0.0
Weekday Annie knitted jumper in mole melange,£24.00,Polyamide,0.48,Polyester,0.42
ASOS DESIGN oversized jumper with crew neck in stripe ,£24.00,Acrylic,0.78,Polyester,0.22
Vila high neck super soft jumper in black mono stripe,£24.00,Viscose,0.5,Nylon,0.27
Miss Selfridge slouchy varsity knitted jumper,£24.00,Acrylic,1.0,NaN,0.0
Stradivarius chunky high neck jumper in 2 tone stripe in grey,£24.00,Acrylic,0.8,Polyester,0.2
