datetime,temp,humidity,precip
2020-11-30,7.7,92.1,0.799
2020-12-01,3.1,89.7,0
2020-12-02,6,91,0.796
2020-12-03,3.5,94.7,3.009
2020-12-04,2.8,95.4,9.432
2020-12-05,2.8,94,4.212
2020-12-06,2.5,98.3,1.225
2020-12-07,2.1,97.4,0.233
2020-12-08,4.2,97.1,9.753
2020-12-09,5.2,91.5,1.391
2020-12-10,5.9,91.4,0.456
2020-12-11,7.5,97.6,6.603
2020-12-12,6.5,96.2,3.205
2020-12-13,6.2,95.1,8.867
2020-12-14,8.7,85.1,1.126
2020-12-15,7.1,85.9,0.13
2020-12-16,7.5,90.5,7.367
2020-12-17,7.3,89.9,0.061
2020-12-18,11.9,91,3
2020-12-19,8.9,84.1,5.846
2020-12-20,5.8,88.6,0.812
2020-12-21,7.3,96,1.27
2020-12-22,4.1,95.2,3.191
2020-12-23,5.1,90.9,4.857
2020-12-24,1.8,81.4,0.271
2020-12-25,0.2,87.9,0
2020-12-26,6.8,86.3,0.502
2020-12-27,4.1,86,18.526
2020-12-28,0.6,97.1,6.433
2020-12-29,-0.3,96.8,3.303
2020-12-30,-0.8,97,0.267
2020-12-31,-0.1,97.5,0.122
